user_id,anomaly_score_IF,anomaly_IF,anomaly_score_AE,anomaly_AE,is_anomaly,user_risk_grade,anomaly,critical_anomaly
10000000,0.074694149413391,1,0.4355005,1,2,Normal,1,1
10000001,0.1722645717875617,1,0.034621257,1,2,Normal,1,1
10000002,0.1577769057398385,1,0.08355532,1,2,Normal,1,1
10000003,0.1780361681048869,1,0.039599076,1,2,Normal,1,1
10000004,0.1638515275370253,1,0.057005793,1,2,Normal,1,1
10000005,0.1729747318703385,1,0.0597767,1,2,Normal,1,1
10000006,0.1716404447567569,1,0.045161236,1,2,Normal,1,1
10000007,0.0229581388791585,1,0.22207591,1,2,Normal,1,1
10000008,0.1704953605624652,1,0.043194547,1,2,Normal,1,1
10000009,0.1612586686422711,1,0.07766909,1,2,Normal,1,1
10000010,0.1750777831959511,1,0.05086402,1,2,Normal,1,1
10000011,0.168643125631851,1,0.034501497,1,2,Normal,1,1
10000012,0.1537747358044259,1,0.08817224,1,2,Normal,1,1
10000013,0.1857675637577521,1,0.01886238,1,2,Normal,1,1
10000014,0.0233945683248577,1,0.49149588,1,2,Normal,1,1
10000015,0.181896375913464,1,0.015075219,1,2,Normal,1,1
10000016,0.1742214826581428,1,0.048922412,1,2,Normal,1,1
10000017,0.1384217799559779,1,0.0725848,1,2,Normal,1,1
10000018,0.0826347504676189,1,0.22523686,1,2,Normal,1,1
10000019,0.027431222498774,1,0.25875372,1,2,Normal,1,1
10000020,0.1107676696738179,1,0.16096672,1,2,Normal,1,1
10000021,0.1584568882304745,1,0.10972693,1,2,Normal,1,1
10000022,0.1639193893758602,1,0.060631633,1,2,Normal,1,1
10000023,0.1538519402726443,1,0.102446444,1,2,Normal,1,1
10000024,0.1748905907558446,1,0.026020313,1,2,Normal,1,1
10000025,0.0939155919507335,1,0.27735245,1,2,Normal,1,1
10000026,0.170107221689891,1,0.04153293,1,2,Normal,1,1
10000027,0.1431949022517403,1,0.19342522,1,2,Normal,1,1
10000028,0.1327840562692964,1,0.14162423,1,2,Normal,1,1
10000029,0.1824492756068459,1,0.020195454,1,2,Normal,1,1
10000030,0.1683775213849058,1,0.0596637,1,2,Normal,1,1
10000031,-0.0883588995156848,-1,0.74296206,-1,-2,Critical Risk,-1,-1
10000032,0.156996937753087,1,0.11341601,1,2,Normal,1,1
10000033,0.1642881082334278,1,0.061245035,1,2,Normal,1,1
10000034,0.1315124284957338,1,0.13463295,1,2,Normal,1,1
10000035,0.1532216223244838,1,0.04770454,1,2,Normal,1,1
10000036,0.1635595625820259,1,0.0972998,1,2,Normal,1,1
10000037,0.140031584425203,1,0.13722306,1,2,Normal,1,1
10000038,0.1516924689823631,1,0.04858294,1,2,Normal,1,1
10000039,0.0810372168411698,1,0.49070203,1,2,Normal,1,1
10000040,-0.011807626408296,-1,0.13839324,1,0,Medium Risk,-1,1
10000041,0.1757188215504239,1,0.066610835,1,2,Normal,1,1
10000042,0.1131516751842743,1,0.1546032,1,2,Normal,1,1
10000043,0.15524819896571,1,0.052016705,1,2,Normal,1,1
10000044,0.1789231055822959,1,0.025029706,1,2,Normal,1,1
10000045,0.1740808154995327,1,0.05286322,1,2,Normal,1,1
10000046,0.1700507070763485,1,0.060769193,1,2,Normal,1,1
10000047,0.1752564385216528,1,0.037705503,1,2,Normal,1,1
10000048,0.1280730242208794,1,0.12825301,1,2,Normal,1,1
10000049,0.0685119290765496,1,0.071518995,1,2,Normal,1,1
10000050,0.1806350272223889,1,0.034949847,1,2,Normal,1,1
10000051,0.0817873218717818,1,0.11250728,1,2,Normal,1,1
10000052,0.1581818630845339,1,0.09826267,1,2,Normal,1,1
10000053,0.1773666747972789,1,0.07380921,1,2,Normal,1,1
10000054,0.1339902153911934,1,0.110290654,1,2,Normal,1,1
10000055,0.1093462635392555,1,0.09654948,1,2,Normal,1,1
10000056,0.122888362194701,1,0.1199677,1,2,Normal,1,1
10000057,0.0198428909145771,1,0.790336,-1,0,Medium Risk,-1,1
10000058,0.1462940149694217,1,0.072654784,1,2,Normal,1,1
10000059,0.1847991278354159,1,0.025813317,1,2,Normal,1,1
10000060,0.1837802542577007,1,0.030465025,1,2,Normal,1,1
10000061,0.1356980695808657,1,0.11453819,1,2,Normal,1,1
10000062,0.1704670039596378,1,0.06614783,1,2,Normal,1,1
10000063,0.1270629920576158,1,0.1467451,1,2,Normal,1,1
10000064,0.1821426661796992,1,0.031014966,1,2,Normal,1,1
10000065,0.1821560599930481,1,0.022469943,1,2,Normal,1,1
10000066,0.1385148535143437,1,0.20682193,1,2,Normal,1,1
10000067,0.1638588826072705,1,0.10856607,1,2,Normal,1,1
10000068,0.1640223668267829,1,0.10151623,1,2,Normal,1,1
10000069,0.0455460087975064,1,0.40510258,1,2,Normal,1,1
10000070,0.1424940592141272,1,0.06858487,1,2,Normal,1,1
10000071,-0.1005630542434736,-1,1.1075146,-1,-2,Critical Risk,-1,-1
10000072,0.1625080406100212,1,0.07280622,1,2,Normal,1,1
10000073,-0.0441112098477841,-1,0.708243,-1,-2,Critical Risk,-1,-1
10000074,0.1792056761871223,1,0.03998716,1,2,Normal,1,1
10000075,0.1194339837342277,1,0.08103891,1,2,Normal,1,1
10000076,0.0192041276853463,1,0.3527259,1,2,Normal,1,1
10000077,0.1021018063788136,1,0.050024062,1,2,Normal,1,1
10000078,0.1481731892648121,1,0.06378012,1,2,Normal,1,1
10000079,0.1087175112974459,1,0.11394662,1,2,Normal,1,1
10000080,0.0753505855674814,1,0.34628928,1,2,Normal,1,1
10000081,0.1803249472744778,1,0.047463875,1,2,Normal,1,1
10000082,-0.1636673882996384,-1,1.0021238,-1,-2,Critical Risk,-1,-1
10000083,0.1394050269253513,1,0.11639468,1,2,Normal,1,1
10000084,0.1120339912702501,1,0.08050496,1,2,Normal,1,1
10000085,0.162615288011793,1,0.09044659,1,2,Normal,1,1
10000086,0.1752570656714669,1,0.050785672,1,2,Normal,1,1
10000087,-0.0547339685300132,-1,0.35593855,1,0,Medium Risk,-1,1
10000088,0.1118806582612956,1,0.24421664,1,2,Normal,1,1
10000089,0.1693249030855515,1,0.054254834,1,2,Normal,1,1
10000090,0.1432203023055659,1,0.14414556,1,2,Normal,1,1
10000091,0.073643125338602,1,0.1427963,1,2,Normal,1,1
10000092,0.0689663617935716,1,0.38330227,1,2,Normal,1,1
10000093,0.165494058959691,1,0.0322855,1,2,Normal,1,1
10000094,0.128060437876584,1,0.10993747,1,2,Normal,1,1
10000095,0.1796347182358115,1,0.031539053,1,2,Normal,1,1
10000096,0.0373276542841729,1,0.361244,1,2,Normal,1,1
10000097,0.151525765236027,1,0.055674214,1,2,Normal,1,1
10000098,0.1400336744453423,1,0.11265696,1,2,Normal,1,1
10000099,0.0595416597001897,1,0.4933291,-1,0,Medium Risk,-1,1
10000100,0.0767356439597199,1,0.24138501,1,2,Normal,1,1
10000101,0.1614786900686259,1,0.102663174,1,2,Normal,1,1
10000102,0.1589700941718034,1,0.1058882,1,2,Normal,1,1
10000103,0.1842336518224134,1,0.026168494,1,2,Normal,1,1
10000104,0.078168660605342,1,0.4141848,1,2,Normal,1,1
10000105,0.1482182460827691,1,0.064750284,1,2,Normal,1,1
10000106,0.0777244070030289,1,0.16870895,1,2,Normal,1,1
10000107,-0.0010289656314513,-1,0.21347837,1,0,Medium Risk,-1,1
10000108,-0.1591651971057845,-1,1.5129845,-1,-2,Critical Risk,-1,-1
10000109,0.141786009534411,1,0.10869648,1,2,Normal,1,1
10000110,0.1838311626942054,1,0.020868195,1,2,Normal,1,1
10000111,0.0916912377176899,1,0.10512807,1,2,Normal,1,1
10000112,0.1378080911317029,1,0.05788027,1,2,Normal,1,1
10000113,0.1718855309132151,1,0.04857287,1,2,Normal,1,1
10000114,0.1322034467011097,1,0.19363937,1,2,Normal,1,1
10000115,-0.1001079593509063,-1,0.6583889,-1,-2,Critical Risk,-1,-1
10000116,0.1594287435453156,1,0.08507375,1,2,Normal,1,1
10000117,0.1714026022588022,1,0.098973595,1,2,Normal,1,1
10000118,0.1764789511780453,1,0.057424884,1,2,Normal,1,1
10000119,0.177832102780633,1,0.038837004,1,2,Normal,1,1
10000120,0.1750042447931475,1,0.039813794,1,2,Normal,1,1
10000121,0.1393382386881364,1,0.06690184,1,2,Normal,1,1
10000122,0.1375080419923648,1,0.10256996,1,2,Normal,1,1
10000123,0.1763289007973648,1,0.021707311,1,2,Normal,1,1
10000124,0.0907594697692523,1,0.16090024,1,2,Normal,1,1
10000125,0.1034040302153648,1,0.24847063,1,2,Normal,1,1
10000126,0.1771307879154096,1,0.031764425,1,2,Normal,1,1
10000127,0.1495741318034465,1,0.07427881,1,2,Normal,1,1
10000128,0.0367736102239515,1,0.40913144,1,2,Normal,1,1
10000129,0.0812865532546669,1,0.1160521,1,2,Normal,1,1
10000130,0.1537628522631314,1,0.062523656,1,2,Normal,1,1
10000131,0.072151873242246,1,0.09640628,1,2,Normal,1,1
10000132,0.1808950992457901,1,0.029996753,1,2,Normal,1,1
10000133,0.113569625190639,1,0.228698,1,2,Normal,1,1
10000134,0.1673669663815247,1,0.04061875,1,2,Normal,1,1
10000135,-0.0159423245664531,-1,0.24060465,1,0,Medium Risk,-1,1
10000136,0.1574219540235074,1,0.03847575,1,2,Normal,1,1
10000137,0.1791047073722586,1,0.070786834,1,2,Normal,1,1
10000138,-0.0001486902448506,-1,0.26039842,1,0,Medium Risk,-1,1
10000139,0.1545118543318788,1,0.06579574,1,2,Normal,1,1
10000140,0.1802971779381009,1,0.029235175,1,2,Normal,1,1
10000141,0.1688801111782763,1,0.07139797,1,2,Normal,1,1
10000142,-0.1187488017617086,-1,0.43800464,1,0,Medium Risk,-1,1
10000143,0.1200679306720833,1,0.13545842,1,2,Normal,1,1
10000144,0.1689412585996343,1,0.07494855,1,2,Normal,1,1
10000145,0.1742123810910669,1,0.05143915,1,2,Normal,1,1
10000146,0.0773023713701715,1,0.13129804,1,2,Normal,1,1
10000147,0.1655961949748898,1,0.044995792,1,2,Normal,1,1
10000148,0.1837590501169788,1,0.035097852,1,2,Normal,1,1
10000149,0.1154342911784326,1,0.07160015,1,2,Normal,1,1
10000150,0.1528419544249616,1,0.042529188,1,2,Normal,1,1
10000151,0.179328169554034,1,0.012997947,1,2,Normal,1,1
10000152,0.1386313762507985,1,0.11435845,1,2,Normal,1,1
10000153,0.1823553026000612,1,0.03172418,1,2,Normal,1,1
10000154,0.1807381225108405,1,0.02876582,1,2,Normal,1,1
10000155,-0.1107421013726668,-1,0.89577854,-1,-2,Critical Risk,-1,-1
10000156,0.1223759468872428,1,0.10588662,1,2,Normal,1,1
10000157,0.1354476914868269,1,0.08088382,1,2,Normal,1,1
10000158,0.1231543324918175,1,0.10916048,1,2,Normal,1,1
10000159,0.1358971709311643,1,0.07150689,1,2,Normal,1,1
10000160,0.1507990427354381,1,0.04890817,1,2,Normal,1,1
10000161,-0.0524180809881839,-1,0.39602506,1,0,Medium Risk,-1,1
